ProductId,CustomizationType,CustomizationOption,AdditionalCost,PrerequisiteOption,MaxQuantity,ApplicableCategories
1,Flavor,Raspberry,0.5,,,Viennoiserie
1,Flavor,Chocolate,0.5,,,Viennoiserie
1,Flavor,Lemon,0.5,,,Viennoiserie
1,Box,6 Viennoiseries,1.5,,,Viennoiserie
1,Box,12 Viennoiseries,2.5,,,Viennoiserie
2,Glaze,Chocolate,0.5,,,Pastry
2,Glaze,Vanilla,0.5,,,Pastry
2,Glaze,Sugar Glaze,0,,,Pastry
2,Topping,Sprinkles,0.5,Glaze,3,Pastry
2,Topping,Nuts,0.75,Glaze,2,Pastry
2,Topping,Fresh Fruit,1,,1,Pastry
2,Filling,Chocolate Ganache,1,,,Pastry
2,Filling,Vanilla Custard,0.75,,,"Pastry, Bread"
2,Filling,Coffee Cream,1,,,Pastry
2,Message,Custom Message,2,,,Pastry
3,Flavor,Raspberry,0.5,,,Viennoiserie
3,Flavor,Chocolate,0.5,,,Viennoiserie
3,Flavor,Lemon,0.5,,,Viennoiserie
3,Box,6 Viennoiseries,1.5,,,Viennoiserie
3,Box,12 Viennoiseries,2.5,,,Viennoiserie
4,Flour,Whole Wheat,0,,,"Pastry, Bread"
4,Seeds/Grains,Sesame Seeds,0.25,,,Bread
4,Seeds/Grains,Poppy Seeds,0.25,,,Bread
4,Seeds/Grains,Sunflower Seeds,0.5,,,Bread
4,Extra,Extra Loaf,2.5,,,"Pastry, Bread"
4,Sliced,TRUE,-0.25,,,Bread
5,Glaze,Chocolate,0.5,,,Pastry
5,Glaze,Vanilla,0.5,,,Pastry
5,Glaze,Sugar Glaze,0,,,Pastry
5,Topping,Sprinkles,0.5,Glaze,3,Pastry
5,Topping,Nuts,0.75,Glaze,2,Pastry
5,Topping,Fresh Fruit,1,,1,Pastry
5,Filling,Chocolate Ganache,1,,,Pastry
5,Filling,Vanilla Custard,0.75,,,Pastry
5,Filling,Coffee Cream,1,,,Pastry
5,Message,Custom Message,2,,,Pastry
6,Flour,Whole Wheat,0,,,Bread
6,Seeds/Grains,Sesame Seeds,0.25,,,Bread
6,Seeds/Grains,Poppy Seeds,0.25,,,Bread
6,Seeds/Grains,Sunflower Seeds,0.5,,,Bread
6,Extra,Extra Loaf,2.5,,,Bread
6,Sliced,TRUE,-0.25,,,Bread
7,Size,Medium,5,,,Tarte
7,Size,Large,10,,,Tarte
7,Frosting,Chocolate,0,,,Tarte
7,Frosting,Vanilla,0,,,"Tarte, Pastry"
7,Message,Custom Message,2,,,Tarte
